participant_number,test_date,child_id,response_id,response_uuid,age_range,rounded_age,age,gender,lan_spoken,by_plant,by_lamp,trial_1,trial_1_correct_answer,trial_1_response,trial_1_score,trial_2,trial_2_correct_answer,trial_2_response,trial_2_score,trial_3,trial_3_correct_answer,trial_3_response,trial_3_score,trial_4,trial_4_correct_answer,trial_4_response,trial_4_score,control_trial,control_trial_correct_answer,control_trial_response,control_trial_score,total_score,notes,exclude,exclude_reason,notes,include,race(will fill out later)
61,7/16/2023,Grannys_Gratitude_Stickers_20230716_5_Lookit_SZ,144164,f55c4452-915b-4c2a-a448-3b61d2bbcdb9,1826-2191,2100,5.75,female,en,benji,harry,olivia_correct_left_mason,olivia,olivia,1,zoey_correct_left_taylor,zoey,zoey,1,leo_correct_right_sara,leo,leo,1,andy_correct_right_emily,andy,andy,1,vicky_correct_left,vicky,vicky,1,4,,,,,,
62,7/16/2023,Grannys_Gratitude_Stickers_20230716_6_Lookit_SZ,144172,51867f03-ab61-47cf-a7e1-dd2fd5263e49,1826-2191,1980,5.42,female,en,benji,harry,emily_correct_left_andy,emily,emily,1,sara_correct_left_leo,sara,sara,1,taylor_correct_right_zoey,taylor,zoey,0,mason_correct_right_olivia,mason,olivia,0,vicky_correct_left,vicky,vicky,1,2,,,,,,
63,7/16/2023,Grannys_Gratitude_Stickers_20230716_10_Lookit_SZ,144211,f5e8a56f-8bb6-46b6-9dca-71cb31869390,1826-2191,1860,5.10,female,en,benji,harry,taylor_correct_right_zoey,taylor,taylor,1,mason_correct_right_olivia,mason,olivia,0,sara_correct_left_leo,sara,sara,1,emily_correct_left_andy,emily,emily,1,vicky_correct_left,vicky,vicky,1,3,,,,,,
64,7/17/2023,Grannys_Gratitude_Stickers_20230717_3_Lookit_SZ,144275,3a38763c-c222-43ec-972f-9ec9c7e31db9,1826-2191,1860,5.10,female,en,benji,harry,leo_correct_left_sara,leo,leo,1,andy_correct_left_emily,andy,andy,1,olivia_correct_right_mason,olivia,olivia,1,zoey_correct_right_taylor,zoey,zoey,1,vicky_correct_left,vicky,vicky,1,4,,,,,,
65,7/17/2023,Grannys_Gratitude_Stickers_20230717_9_Lookit_SZ,144477,3a3f2d1e-1557-4f62-8850-06ad5184a877,1826-2191,2160,5.92,unknown,en ml yo,benji,harry,zoey_correct_right_taylor,zoey,zoey,1,olivia_correct_right_mason,olivia,olivia,1,andy_correct_left_emily,andy,andy,1,leo_correct_left_sara,leo,leo,1,michael_correct_left,michael,michael,1,4,,,,,,
66,7/18/2023,Grannys_Gratitude_Stickers_20230718_3_Lookit_SZ,144533,e283711e-a5ac-4500-80e4-ff74df5a2fd1,1826-2191,1950,5.34,male,en so,benji,harry,zoey_correct_left_taylor,zoey,taylor,0,olivia_correct_left_mason,olivia,sunscreen,0,andy_correct_right_emily,andy,andy,1,leo_correct_right_sara,leo,leo,1,vicky_correct_left,vicky,vicky,1,2,,,,,,
67,7/18/2023,Grannys_Gratitude_Stickers_20230718_13_Lookit_SZ,144683,b11380da-2d7f-4641-be78-afe76bee73fd,1826-2191,1890,5.18,female,en fr ru,benji,harry,sara_correct_left_leo,sara,sara,1,taylor_correct_right_zoey,taylor,taylor,1,emily_correct_left_andy,emily,emily,1,mason_correct_right_olivia,mason,mason,1,vicky_correct_left,vicky,vicky,1,4,,,,,,
68,7/19/2023,Grannys_Gratitude_Stickers_20230719_1_Lookit_SZ,144713,35940016-0d93-41fa-bab5-d4cbdfd0d56a,1826-2191,1950,5.34,male,en,benji,harry,andy_correct_left_emily,andy,emily,0,olivia_correct_right_mason,olivia,olivia,1,zoey_correct_right_taylor,zoey,zoey,1,leo_correct_left_sara,leo,leo,1,vicky_correct_left,vicky,michael,0,3,,,,,,
69,7/19/2023,Grannys_Gratitude_Stickers_20230719_6_Lookit_SZ,144870,3b81afd8-9e8d-4685-aff6-74199a739e56,1826-2191,2010,5.51,male,en,benji,harry,emily_correct_right_andy,emily,andy,0,mason_correct_left_olivia,mason,olivia,0,taylor_correct_left_zoey,taylor,zoey,0,sara_correct_right_leo,sara,sara,1,vicky_correct_left,vicky,michael,0,1,,,,,,
70,7/20/2023,Grannys_Gratitude_Stickers_20230720_1_Lookit_SZ,144995,f25c9bbf-8e19-4d59-9fe0-6ba2cf3f6737,1826-2191,1830,5.01,female,en,benji,harry,olivia_correct_right_mason,olivia,olivia,1,leo_correct_left_sara,leo,glass vase,1,andy_correct_left_emily,andy,andy,1,zoey_correct_right_taylor,zoey,zoey,1,michael_correct_left,michael,michael,1,4,,,,,,
71,7/20/2023,Grannys_Gratitude_Stickers_20230720_3_Lookit_SZ,145098,33f60975-d872-4f39-a976-c21c39a212c3,1826-2191,2070,5.67,male,en,benji,harry,sara_correct_right_leo,sara,leo,0,mason_correct_left_olivia,mason,mason,1,emily_correct_right_andy,emily,andy,0,taylor_correct_left_zoey,taylor,taylor,1,michael_correct_left,michael,michael,1,2,,,,,,
72,7/21/2023,Grannys_Gratitude_Stickers_20230721_4_Lookit_SZ,145255,13a0e7e4-01db-45b0-956d-11bb3672a2b8,1826-2191,2100,5.75,female,en he,benji,harry,mason_correct_left_olivia,mason,mason,1,emily_correct_right_andy,emily,both,0,taylor_correct_left_zoey,taylor,taylor,1,sara_correct_right_leo,sara,sara,1,michael_correct_left,michael,michael,1,3,,,,,,
73,7/22/2023,Grannys_Gratitude_Stickers_20230722_1_Lookit_SZ,145372,aa1dac94-d649-4243-956f-8bdcca91c4ca,1826-2191,1950,5.34,male,en de,benji,harry,zoey_correct_right_taylor,zoey,taylor,0,andy_correct_left_emily,andy,emily,0,olivia_correct_right_mason,olivia,olivia,1,leo_correct_left_sara,leo,sara,0,vicky_correct_left,vicky,vicky,1,1,,,,,,
74,7/22/2023,Grannys_Gratitude_Stickers_20230722_4_Lookit_SZ,145403,0e6ab723-9ced-4629-b122-613dde41328c,1826-2191,2160,5.92,male,en es,benji,harry,emily_correct_left_andy,emily,emily,1,sara_correct_left_leo,sara,sara,1,taylor_correct_right_zoey,taylor,taylor,1,mason_correct_right_olivia,mason,mason,1,michael_correct_left,michael,michael,1,4,,,,,,
75,7/22/2023,Grannys_Gratitude_Stickers_20230722_5_Lookit_SZ,145404,7b2b7e99-f4ba-4da5-9238-680769f44ba1,1826-2191,2040,5.59,male,en,benji,harry,emily_correct_right_andy,emily,the basketball,0,mason_correct_left_olivia,mason,the ice cream,1,taylor_correct_left_zoey,taylor,taylor,1,sara_correct_right_leo,sara,leo,0,vicky_correct_left,vicky,vicky,1,2,,,,,,
76,7/22/2023,Grannys_Gratitude_Stickers_20230722_8_Lookit_SZ,145418,c8fc35c1-64a3-4066-b6ac-3c6bfdce8456,1826-2191,1980,5.42,male,unknown,benji,harry,taylor_correct_left_zoey,taylor,the phone,1,emily_correct_right_andy,emily,emily,1,mason_correct_left_olivia,mason,mason,1,sara_correct_right_leo,sara,sara,1,vicky_correct_left,vicky,vicky,1,4,,,,,,
77,7/23/2023,Grannys_Gratitude_Stickers_20230723_1_Lookit_SZ,145437,c6665b21-c67d-4462-b82b-cf380c52613d,1826-2191,1860,5.10,female,en ur,benji,harry,olivia_correct_right_mason,olivia,olivia,1,andy_correct_left_emily,andy,the egg,1,zoey_correct_right_taylor,zoey,zoey,1,leo_correct_left_sara,leo,sara,0,vicky_correct_left,vicky,michael,0,3,,,,,,
78,8/11/2023,Grannys_Gratitude_Stickers_20230811_1_Lookit_SZ,149062,04bc792b-2637-411c-ba95-0867c9770918,1826-2191,1920,5.26,male,en,benji,harry,taylor_correct_left_zoey,taylor,taylor,1,emily_correct_right_andy,emily,emily,1,sara_correct_right_leo,sara,sara,1,mason_correct_left_olivia,mason,olivia,0,vicky_correct_left,vicky,vicky,1,3,,,,,,
79,8/11/2023,Grannys_Gratitude_Stickers_20230811_6_Lookit_SZ,149106,867d3099-f2d4-4b43-a4fa-e4d4f588a5e2,1826-2191,1980,5.42,male,en,benji,harry,leo_correct_right_sara,leo,leo,1,andy_correct_right_emily,andy,andy,1,zoey_correct_left_taylor,zoey,zoey,1,olivia_correct_left_mason,olivia,olivia,1,michael_correct_left,michael,michael,1,4,,,,,,
80,8/11/2023,Grannys_Gratitude_Stickers_20230811_7_Lookit_SZ,149125,cefb3e09-498f-469d-8055-82b354341638,1826-2191,2160,5.92,female,en,benji,harry,olivia_correct_right_mason,olivia,olivia,1,andy_correct_left_emily,andy,emily,0,leo_correct_left_sara,leo,leo,1,zoey_correct_right_taylor,zoey,zoey,1,michael_correct_left,michael,michael,1,3,,,,,,
81,8/11/2023,Grannys_Gratitude_Stickers_20230811_8_Lookit_SZ,149177,e6acc1fe-fa19-441c-b887-e622ffab1ad2,1826-2191,1920,5.26,male,unknown,benji,harry,leo_correct_right_sara,leo,leo,1,andy_correct_right_emily,andy,andy,1,zoey_correct_left_taylor,zoey,zoey,1,olivia_correct_left_mason,olivia,mason,0,vicky_correct_left,vicky,vicky,1,3,,,,,,
82,8/17/2023,Grannys_Gratitude_Stickers_20230817_10_Lookit_SZ,150653,8ad452ef-b6a4-40c7-ac88-f441a03ea503,1826-2191,1920,5.26,male,,benji,harry,olivia_correct_right_mason,olivia,olivia,1,leo_correct_left_sara,leo,leo,1,andy_correct_left_emily,andy,andy,1,zoey_correct_right_taylor,zoey,zoey,1,vicky_correct_left,vicky,michael,0,4,,,,,,
83,8/12/2023,Grannys_Gratitude_Stickers_20230812_6_Lookit_SZ,149314,4f1cff15-0bd7-4ced-b2ab-fb1d92595cc0,1826-2191,1980,5.42,male,en,benji,harry,emily_correct_right_andy,emily,emily,1,mason_correct_left_olivia,mason,mason,1,taylor_correct_left_zoey,taylor,zoey,0,sara_correct_right_leo,sara,leo,0,michael_correct_left,michael,michael,1,2,,,,,,
84,8/13/2023,Grannys_Gratitude_Stickers_20230813_1_Lookit_SZ,149381,6d3f4989-cfc3-4e1f-a07e-275efa7c7eec,1826-2191,2160,5.92,male,en,benji,harry,leo_correct_left_sara,leo,leo,1,zoey_correct_right_taylor,zoey,zoey,1,olivia_correct_right_mason,olivia,olivia,1,andy_correct_left_emily,andy,andy,1,michael_correct_left,michael,michael,1,4,"leo cause he caught something made of glass and so it doesn't break; zoey because the phone would break if it goes into water but this(rubber ducky) would flow on the water and that would be fine; olivia cause it(the ice cream) comes out it will spill on the ground but this won't; andy who caught the egg cause the egg would crack on the floor and she would have to clean it up; michael because he cleaned up more, and not vicky cause vicky only cleaned up, let me count, 1,2,3,4,5, vicky only cleaned up 5.",,,,,
85,8/13/2023,Grannys_Gratitude_Stickers_20230813_5_Lookit_SZ,149451,06964e53-f5d1-4b38-8fed-57b1001e0163,1826-2191,2070,5.67,female,en,benji,harry,emily_correct_right_andy,emily,emily,1,taylor_correct_left_zoey,taylor,taylor ,1,mason_correct_left_olivia,mason,mason,1,sara_correct_right_leo,sara,sara,1,michael_correct_left,michael,michael,1,4,,,,,,
86,8/14/2023,Grannys_Gratitude_Stickers_20230814_5_Lookit_SZ,149645,f64433f4-9d74-4a88-ac77-ceec40672e0d,1826-2191,1830,5.01,female,en so, benji,harry,mason_correct_right_olivia,mason,olivia,0,taylor_correct_right_zoey,taylor,phone,1,emily_correct_left_andy,emily,emily,1,sara_correct_left_leo,sara,leo,0,michael_correct_left,michael,michael,1,2,,,,,,
87,8/14/2023,Grannys_Gratitude_Stickers_20230814_6_Lookit_SZ,149678,eb89ee9f-df96-4b10-ab19-9587c8197fc7,1826-2191,1890,5.18,male,en ur, benji,harry,leo_correct_left_sara,leo,leo,1,andy_correct_left_emily,andy,egg,1,olivia_correct_right_mason,olivia,olivia,1,zoey_correct_right_taylor,zoey,zoey,1,vicky_correct_left,vicky,vicky,1,4,,,,,,
88,8/17/2023,Grannys_Gratitude_Stickers_20230817_7_Lookit_SZ,150618,0f7365ac-ebb6-4229-ac02-86cd92c2080e,1826-2191,1980,5.42,male,en, benji,harry,taylor_correct_left_zoey,taylor,phone,1,sara_correct_right_leo,sara,glass  vase,1,mason_correct_left_olivia,mason,ice cream,1,emily_correct_right_andy,emily,egg,1,vicky_correct_left,vicky,a lot of fallen leaves,1,4,because the phone will be broken,,,,,
89,8/17/2023,Grannys_Gratitude_Stickers_20230817_8_Lookit_SZ,150647,dddfe061-b844-4687-a550-500b20774213,1826-2191,1920,5.26,female,en ml, benji,harry,leo_correct_right_sara,leo,leo,1,zoey_correct_left_taylor,zoey,taylor,0,olivia_correct_left_mason,olivia,olivia,1,andy_correct_right_emily,andy,emily,0,michael_correct_left,michael,vicky,0,2,,,,,,
90,8/17/2023,Grannys_Gratitude_Stickers_20230817_9_Lookit_SZ,150649,6a0cd323-377a-49ef-8e5b-d13492382f26,1826-2191,2070,5.67,male,en ml so,benji,harry,andy_correct_left_emily,andy,andy,1,zoey_correct_right_taylor,zoey,taylor,0,olivia_correct_right_mason,olivia,olivia,1,leo_correct_left_sara,leo,sara,1,vicky_correct_left,vicky,vicky,1,3,,,,,,
91,7/16/2023,Grannys_Gratitude_Stickers_20230716_1_Lookit_SZ,144125,ff4f1ee8-6eda-4add-9f69-6f405536842c,2191-2556,2290,6.27,male,en,benji,harry,sara_correct_left_leo,sara,sara,1,mason_correct_right_olivia, mason,olivia,0,emily_correct_left_andy,emily,emily,1,taylor_correct_right_zoey,taylor,taylor,1,michael_correct_left,michael,michael,1,3,,,,,,
92,7/16/2023,Grannys_Gratitude_Stickers_20230716_2_Lookit_SZ,144138,1e07a959-ccfb-4e08-9427-f318adc49adf,2191-2556,2370,6.49,female,en cmn,benji,harry,mason_correct_right_olivia,mason,olivia,0,sara_correct_left_leo,sara,sara,1,emily_correct_left_andy,emily,emily,1,taylor_correct_right_zoey,taylor,taylor,1,michael_correct_left,michael,vicky,0,3,,,,,,
93,7/16/2023,Grannys_Gratitude_Stickers_20230716_8_Lookit_SZ,144200,bae412f9-ae0f-4bb9-9d20-9689cdcd2ea1,2191-2556,2370,6.49,male,en,benji,harry,leo_correct_right_sara,leo,leo,1,andy_correct_right_emily,andy,andy,1,olivia_correct_left_mason,olivia,olivia,1,zoey_correct_left_taylor,zoey,zoey,1,vicky_correct_left,vicky,vicky,1,4,,,,,,
94,7/16/2023,Grannys_Gratitude_Stickers_20230716_13_Lookit_SZ,144218,ca18f0e9-b69f-4ddf-8582-fbee421faff3,2191-2556,2460,6.74,female,en,benji,harry by the lamp,taylor_correct_left_zoey,taylor,taylor who caught the phone,1,emily_correct_right_andy,emily,emily who caught the egg,1,mason_correct_left_olivia,mason,mason who caught the ice cream,1,sara_correct_right_leo,sara,sara who got the glass vase,1,vicky_correct_left,vicky,vicky who swept a lot of leaves,1,4,,,,,,
95,7/16/2023,Grannys_Gratitude_Stickers_20230716_14_Lookit_SZ,144221,c41598ff-ca24-4496-9555-69b72dd4e781,2191-2556,2430,6.66,male,en hi,benji,harry,zoey_correct_left_taylor,zoey,zoey,1,andy_correct_right_emily,andy,andy,1,leo_correct_right_sara,leo,leo,1,olivia_correct_left_mason,olivia,olivia,1,vicky_correct_left,vicky,vicky,1,4,,,,,,
96,7/16/2023,Grannys_Gratitude_Stickers_20230716_15_Lookit_SZ,144223,c7e67a20-8082-4df1-ada0-262eda896e47,2191-2556,2400,6.58,male,en,benji,harry,andy_correct_left_emily,andy,andy,1,leo_correct_left_sara,leo,leo,1,zoey_correct_right_taylor,zoey,zoey,1,olivia_correct_right_mason,olivia,olivia,1,vicky_correct_left,vicky,vicky,1,4,,,,,,
97,7/16/2023,Grannys_Gratitude_Stickers_20230716_16_Lookit_SZ,144229,688d39b6-889a-45b5-9b4f-cd92a7f7a2d3,2191-2556,2400,6.58,female,en cmn,benji,harry,taylor_correct_left_zoey,taylor,taylor,1,sara_correct_right_leo,sara,sara,1,mason_correct_left_olivia,mason,mason,1,emily_correct_right_andy,emily,emily,1,michael_correct_left,michael,vicky,0,4,,,,,,
98,7/16/2023,Grannys_Gratitude_Stickers_20230716_17_Lookit_SZ,144235,777168eb-b0fa-4f6e-8eae-3e63092dfafc,2191-2556,2310,6.33,male,en km so,benji,harry,andy_correct_left_emily,andy,andy,1,zoey_correct_right_taylor,zoey,zoey,1,leo_correct_left_sara,leo,leo,1,olivia_correct_right_mason,olivia,olivia,1,vicky_correct_left,vicky,vicky,1,4,,,,,,
99,7/17/2023,Grannys_Gratitude_Stickers_20230717_4_Lookit_SZ,144293,2fa2be27-b9cd-4891-a9ca-d3122e429ba9,2191-2556,2400,6.58,male,en wuu,benji,harry,andy_correct_left_emily,andy,emily,0,leo_correct_left_sara,leo,leo that caught the vase,1,zoey_correct_right_taylor,zoey,taylor who caught the duck,0,olivia_correct_right_mason,olivia,olivia who caught the ice cream,1,michael_correct_left,michael,vicky,0,2,,,,,,
100,7/18/2023,Grannys_Gratitude_Stickers_20230718_1_Lookit_SZ,144511,2d670bda-e244-49b9-b5c9-ec1bc604bd48,2191-2556,2250,6.16,female,en,benji,harry,olivia_correct_left_mason,olivia,olivia who caught the ice cream,1,zoey_correct_left_taylor,zoey,zoey,1,leo_correct_right_sara,leo,leo,1,andy_correct_right_emily,andy,andy,1,michael_correct_left,michael,vicky,0,4,"kid said: ""The phone is more important.""",,,,,
101,7/18/2023,Grannys_Gratitude_Stickers_20230718_6_Lookit_SZ,144586,022f8b84-d1cd-43d0-8275-13f5371fd0f6,2191-2556,2250,6.16,male,en,benji,harry,taylor_correct_left_zoey,taylor,taylor,1,emily_correct_right_andy,emily,andy,0,sara_correct_right_leo,sara,sara,1,mason_correct_left_olivia,mason,mason,1,vicky_correct_left,vicky,vicky,1,3,,,,,,
102,7/18/2023,Grannys_Gratitude_Stickers_20230718_9_Lookit_SZ,144629,68c01c84-843c-415d-921e-d9e74c74e74a,2191-2556,2280,6.25,female,en,benji,harry,emily_correct_right_andy,emily,emily,1,mason_correct_left_olivia,mason,olivia,0,taylor_correct_left_zoey,taylor,taylor,1,sara_correct_right_leo,sara,sara,1,vicky_correct_left,vicky,michael,0,3,,,,,,
103,7/18/2023,Grannys_Gratitude_Stickers_20230718_10_Lookit_SZ,144639,96faac0a-9ea7-4bd2-b0bc-caf71a856ee9,2191-2556,2290,6.27,male,en pes ml,benji,harry,andy_correct_left_emily,andy,andy,1,leo_correct_left_sara,leo,leo,1,olivia_correct_right_mason,olivia,mason,0,zoey_correct_right_taylor,zoey,zoey,1,michael_correct_left,michael,michael,1,3,"Kid said: ""It's hard because you could get sunburn without the sunscreen but you could cool down with the ice cream.""",,,,,
104,7/19/2023,Grannys_Gratitude_Stickers_20230719_3_Lookit_SZ,144788,6ce92b21-cde7-4f3d-ad38-37c0db1e4d21,2191-2556,2400,6.58,male,en,benji,harry,zoey_correct_right_taylor,zoey,zoey,1,leo_correct_left_sara,leo,sara,0,andy_correct_left_emily,andy,emily,0,olivia_correct_right_mason,olivia,olivia,1,vicky_correct_left,vicky,vicky,1,2,,,,,,
105,7/19/2023,Grannys_Gratitude_Stickers_20230719_5_Lookit_SZ,144868,2dc35a20-37f4-4640-bfab-528d2052941a,2191-2556,2340,6.41,male,en,benji,harry,taylor_correct_right_zoey,taylor,taylor,1,sara_correct_left_leo,sara,sara,1,mason_correct_left_olivia,mason,mason,1,emily_correct_left_andy,emily,emily,1,vicky_correct_left,vicky,vicky,1,4,,,,,,
106,7/20/2023,Grannys_Gratitude_Stickers_20230720_6_Lookit_SZ,145143,dbc7436a-c2d7-43b8-a6c8-a2336ce38f9e,2191-2556,2550,6.99,female,en,benji,harry,emily_correct_right_andy,emily,emily,1,sara_correct_right_leo,sara,sara,1,mason_correct_left_olivia,mason,mason,1,taylor_correct_left_zoey,taylor,taylor,1,michael_correct_left,michael,michael,1,4,,,,,,
107,7/22/2023,Grannys_Gratitude_Stickers_20230722_3_Lookit_SZ,145390,0f938a2a-b1eb-4ee3-b358-5123f3ef331e,2191-2556,2280,6.25,female,en,benji,harry,zoey_correct_right_taylor,zoey,the phone,1,andy_correct_left_emily,andy,andy,1,olivia_correct_right_mason,olivia,ice cream,1,leo_correct_left_sara,leo,leo,1,michael_correct_left,michael,michael,1,4,,,,,,
108,7/22/2023,Grannys_Gratitude_Stickers_20230722_7_Lookit_SZ,145412,515e6663-4e7b-427c-8ba7-6f6d5f0c0d1e,2191-2556,2520,6.90,female,en,benji,harry,mason_correct_left_olivia,mason,olivia,0,taylor_correct_left_zoey,taylor,taylor,1,emily_correct_right_andy,emily,emily,1,sara_correct_right_leo,sara,sara,1,michael_correct_left,michael,michael,1,3,,,,,,
109,7/23/2023,Grannys_Gratitude_Stickers_20230723_3_Lookit_SZ,145468,a6c1dd7a-924e-448c-996b-77a7dc099f32,2191-2556,2550,6.99,female,en,benji,harry,andy_correct_left_emily,andy,andy,1,leo_correct_left_sara,leo,leo,1,olivia_correct_right_mason,olivia,olivia,1,zoey_correct_right_taylor,zoey,zoey,1,michael_correct_left,michael,michael,1,4,,,,,,
110,7/23/2023,Grannys_Gratitude_Stickers_20230723_5_Lookit_SZ,145486,f19e3bb0-7b0f-4d57-b653-c35db7fd8c0f,2191-2556,2460,6.74,female,unknown,benji,harry,emily_correct_left_andy,emily,emily,1,mason_correct_right_olivia,mason,mason,1,taylor_correct_right_zoey,taylor,taylor,1,sara_correct_left_leo,sara,sara,1,vicky_correct_left,vicky,vicky,1,4,,,,,,
111,8/13/2023,Grannys_Gratitude_Stickers_20230813_3_Lookit_SZ,149393,bcdd79be-d39c-4076-9bf0-4b8500f58948,2191-2556,2430,6.66,female,en ml su yo,benji,harry,emily_correct_right_andy,emily,emily,1,mason_correct_left_olivia,mason,mason,1,sara_correct_right_leo,sara,sara,1,taylor_correct_left_zoey,taylor,taylor,1,vicky_correct_left,vicky,vicky,1,4,,,,,,
112,8/14/2023,Grannys_Gratitude_Stickers_20230814_8_Lookit_SZ,149706,8a4978bd-8e9f-421c-b183-d30689c4084b,2191-2556,2370,6.49,female,en it,benji,harry,taylor_correct_right_zoey,taylor,taylor,1,sara_correct_left_leo,sara,sara,1,emily_correct_left_andy,emily,emily,1,mason_correct_right_olivia,mason,mason,1,vicky_correct_left,vicky,vicky,1,4,,,,,,
113,8/15/2023,Grannys_Gratitude_Stickers_20230815_1_Lookit_SZ,149815,89aaa090-8952-420f-9b27-085a3d29fdc1,2191-2556,2430,6.66,male,en he,benji,harry,leo_correct_right_sara,leo,leo,1,olivia_correct_left_mason,olivia,olivia,1,zoey_correct_left_taylor,zoey,zoey,1,andy_correct_right_emily,andy,andy,1,vicky_correct_left,vicky,vicky,1,4,,,,,,
114,8/15/2023,Grannys_Gratitude_Stickers_20230815_3_Lookit_SZ,149887,a61056ec-c7f5-4147-82db-fbdc6213a20c,2191-2556,2280,6.25,female,en,benji,harry,mason_correct_left_olivia,mason,mason,1,sara_correct_right_leo,sara,sara,1,emily_correct_right_andy,emily,emily,1,taylor_correct_left_zoey,taylor,taylor,1,vicky_correct_left,vicky,vicky,1,4,,,,,,
115,8/15/2023,Grannys_Gratitude_Stickers_20230815_4_Lookit_SZ,149952,d05509f3-2ad9-429b-a96d-bda4eb9eda87,2191-2556,2250,6.16,female,en,benji,harry,leo_correct_left_sara,leo,leo,1,olivia_correct_right_mason,olivia,olivia,1,andy_correct_left_emily,andy,andy,1,zoey_correct_right_taylor,zoey,zoey,1,michael_correct_left,michael,michael,1,4,,,,,,
116,8/15/2023,Grannys_Gratitude_Stickers_20230815_7_Lookit_SZ,150010,12b6ea8c-f6de-4c54-838e-91fde66568ae,2191-2556,2370,6.49,male,en,benji,harry,mason_correct_left_olivia,mason,mason,1,taylor_correct_left_zoey,taylor,taylor,1,emily_correct_right_andy,emily,emily,1,sara_correct_right_leo,sara,leo,0,michael_correct_left,michael,michael,1,3,,,,,,
117,8/15/2023,Grannys_Gratitude_Stickers_20230815_9_Lookit_SZ,150026,7e072a0d-82a3-4afe-b471-f25273d4217b,2191-2556,2430,6.66,female,en,benji,harry,andy_correct_left_emily,andy,emily,0,leo_correct_left_sara,leo,leo,1,olivia_correct_right_mason,olivia,olivia,1,zoey_correct_right_taylor,zoey,zoey,1,michael_correct_left,michael,michael,1,3,,,,,,
118,8/17/2023,Grannys_Gratitude_Stickers_20230817_1_Lookit_SZ,150529,6ca56faa-f3ae-4cba-bb7d-670c9a677dd3,2191-2556,2370,6.49,female,unknown,benji,harry,leo_correct_right_sara,leo,sara,0,andy_correct_right_emily,andy,andy,1,zoey_correct_left_taylor,zoey,taylor,0,olivia_correct_left_mason,olivia,olivia,1,vicky_correct_left,vicky,vicky,1,2,,,,,,
119,8/17/2023,Grannys_Gratitude_Stickers_20230817_11_Lookit_SZ,150660,9a81fb1d-390e-4dc1-92e0-896cdf91e279,2191-2556,2220,6.08,female,en so,benji,harry,sara_correct_left_leo,sara,sara,1,emily_correct_left_andy,emily,emily,1,taylor_correct_right_zoey,taylor,taylor,1,mason_correct_right_olivia,mason,olivia,0,michael_correct_left,michael,michael,1,3,Because it was glass.,,,,,
120,8/18/2023,Grannys_Gratitude_Stickers_20230818_2_Lookit_SZ,150714,de38ea48-dbc4-4c5c-8fed-d203efe7f15e,2191-2556,2280,6.25,female,en,benji,harry,andy_correct_right_emily,andy,andy,1,leo_correct_right_sara,leo,leo,1,olivia_correct_left_mason,olivia,sunscreen,0,zoey_correct_left_taylor,zoey,zoey,1,michael_correct_left,michael,michael,1,3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
back up + failed data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2023,Grannys_Gratitude_Stickers_20230630_3_Lookit_SZ,142132,f25fe127-93a8-4e26-9b71-ca0277109f96,1095-1460,1140,3.12,female,en,,harry,leo_correct_right_sara,leo,leo,1,andy_correct_right_emily,andy,andy,1,zoey_correct_left_taylor,zoey,zoey,1,olivia_correct_left_mason,olivia,ice cream,1,vicky_correct_left,vicky,michael,0,4,,,,,,
,7/1/2023,Grannys_Gratitude_Stickers_20230701_2_Lookit_SZ,142323,1ed9cebd-bc31-4c27-829e-8e5a803d5e82,1095-1460,1170,3.21,male,en,,,taylor_correct_left_zoey,taylor,zoey,0,emily_correct_right_andy,emily,emily,1,mason_correct_left_olivia,mason,mason,1,sara_correct_right_leo,sara,leo,0,vicky_correct_left,vicky,vicky,1,2,,,,,,
,7/4/2023,Grannys_Gratitude_Stickers_20230704_2_Lookit_SZ,142596,b9605a77-93ed-4faf-8c59-b5ce267aaff0,1095-1460,1260,3.45,female,en,,,emily_correct_right_andy,emily,emily,1,sara_correct_right_leo,sara,leo,0,taylor_correct_left_zoey,taylor,zoey,0,mason_correct_left_olivia,mason,olivia,0,michael_correct_left,michael,michael,1,1,,,,,,
,6/17/2023,Grannys_Gratitude_Stickers_20230617_2_Lookit_SZ,139821,2763eff8-5f36-421d-82f0-5866e7ea7b46,1095-1460,1140,3.12,male,en ,harry,benji,sara_correct_right_leo,sara,sara,1,mason_correct_left_olivia,mason,olivia,0,emily_correct_right_andy,emily,andy,0,taylor_correct_left_zoey,taylor,zoey,0,vicky_correct_left,vicky,vicky,1,1,,,,,,
,6/20/2023,Grannys_Gratitude_Stickers_20230620_2_Lookit_SZ,140178,fef92c06-070a-4695-ad25-b96d7e640521,1095-1460,1260,3.45,male,en ,,harry,mason_correct_right_olivia,mason,ice cream,1,emily_correct_left_andy,emily,basketball,0,taylor_correct_right_zoey,taylor,the rubber ducky,0,sara_correct_left_leo,sara,the toy bear,0,michael_correct_left,michael,the big pile,1,1,"Kid said: ""Because I like basketball.""",,,,,
